qs_2005_rank,qs_institution_name,qs_country,openalex_name,openalex_id,is_manual_mapping,matched
180,Lund University,Sweden,Lund University,https://openalex.org/I187531555,FALSE,TRUE
180,Uppsala University,Sweden,Uppsala University,https://openalex.org/I123387679,FALSE,TRUE
183,Autonomous University of Madrid,Spain,Universidad Autónoma de Madrid,https://openalex.org/I63634437,FALSE,TRUE
184,McMaster University,Canada,McMaster University,https://openalex.org/I98251732,FALSE,TRUE
184,Korea University,South Korea,Korea University,https://openalex.org/I197347611,FALSE,TRUE
186,VU University Amsterdam,Netherlands,Vrije Universiteit Amsterdam,https://openalex.org/I865915315,TRUE,TRUE
186,University of Otago,New Zealand,University of Otago,https://openalex.org/I80281795,FALSE,TRUE
188,Tel Aviv University,Israel,Tel Aviv University,https://openalex.org/I16391192,FALSE,TRUE
188,Massey University,New Zealand,Massey University,https://openalex.org/I51158804,FALSE,TRUE
190,G�teborg University,Sweden,University of Gothenburg,https://openalex.org/I881427289,TRUE,TRUE
191,Western University,Canada,Western University,https://openalex.org/I125749732,FALSE,TRUE
192,Jawaharlal Nehru University,India,Jawaharlal Nehru University,https://openalex.org/I152429107,FALSE,TRUE
193,University of Pittsburgh,USA,University of Pittsburgh,https://openalex.org/I170201317,FALSE,TRUE
194,Helsinki University of Technology,Finland,,,,FALSE
194,Technion - Israel Institute of Technology,Israel,Technion – Israel Institute of Technology,https://openalex.org/I174306211,TRUE,TRUE
196,University of Sao Paulo,Brazil,Universidade de São Paulo,https://openalex.org/I17974374,TRUE,TRUE
196,KTH - Royal Institute of Technology,Sweden,KTH Royal Institute of Technology,https://openalex.org/I86987016,FALSE,TRUE
198,Showa University,Japan,Showa University,https://openalex.org/I119182057,FALSE,TRUE
199,University of Florence,Italy,University of Florence,https://openalex.org/I45084792,FALSE,TRUE
199,George Washington University,USA,George Washington University,https://openalex.org/I193531525,FALSE,TRUE
199,Wake Forest University,USA,Wake Forest University,https://openalex.org/I47251452,FALSE,TRUE
